Nombre;Autor;Precio;Genero;Puntuacion;Edad;Imagen
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;0;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;1;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;2;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;3;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;0;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;1;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;2;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;3;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;0;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;1;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;2;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;3;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
TODOS SOIS MIS FAVORITOS;Sam McBratney;17;Lectura;6;0;https://imagessl7.casadellibro.com/a/l/t5/67/9788416126767.jpg
TODOS SOIS MIS FAVORITOS;Sam McBratney;17;Lectura;6;1;https://imagessl7.casadellibro.com/a/l/t5/67/9788416126767.jpg
TODOS SOIS MIS FAVORITOS;Sam McBratney;17;Lectura;6;2;https://imagessl7.casadellibro.com/a/l/t5/67/9788416126767.jpg
TODOS SOIS MIS FAVORITOS;Sam McBratney;17;Lectura;6;3;https://imagessl7.casadellibro.com/a/l/t5/67/9788416126767.jpg
¿A QUÉ SABE LA LUNA?;Michael Greniec;13;Otros;5;0;https://imagessl1.casadellibro.com/a/l/t5/41/9788484645641.jpg
¿A QUÉ SABE LA LUNA?;Michael Greniec;13;Otros;5;1;https://imagessl1.casadellibro.com/a/l/t5/41/9788484645641.jpg
¿A QUÉ SABE LA LUNA?;Michael Greniec;13;Otros;5;2;https://imagessl1.casadellibro.com/a/l/t5/41/9788484645641.jpg
¿A QUÉ SABE LA LUNA?;Michael Greniec;13;Otros;5;3;https://imagessl1.casadellibro.com/a/l/t5/41/9788484645641.jpg
CÓMO ATRAPAR UNA ESTRELLA;Oliver Jeffers;15;Lectura;7;0;https://imagessl9.casadellibro.com/a/l/t5/89/9789681677589.jpg
CÓMO ATRAPAR UNA ESTRELLA;Oliver Jeffers;15;Lectura;7;1;https://imagessl9.casadellibro.com/a/l/t5/89/9789681677589.jpg
CÓMO ATRAPAR UNA ESTRELLA;Oliver Jeffers;15;Lectura;7;2;https://imagessl9.casadellibro.com/a/l/t5/89/9789681677589.jpg
CÓMO ATRAPAR UNA ESTRELLA;Oliver Jeffers;15;Lectura;7;3;https://imagessl9.casadellibro.com/a/l/t5/89/9789681677589.jpg
HUEVOS VERDES CON JAMÓN;Dr Seuss;23;Otros;6;4;https://imagessl6.casadellibro.com/a/l/t5/06/9788448844806.jpg
HUEVOS VERDES CON JAMÓN;Dr Seuss;23;Otros;6;5;https://imagessl6.casadellibro.com/a/l/t5/06/9788448844806.jpg
HUEVOS VERDES CON JAMÓN;Dr Seuss;23;Otros;6;6;https://imagessl6.casadellibro.com/a/l/t5/06/9788448844806.jpg
HUEVOS VERDES CON JAMÓN;Dr Seuss;23;Otros;6;7;https://imagessl6.casadellibro.com/a/l/t5/06/9788448844806.jpg
"EL ÁRBOL GENEROSO;Shel Silverstein;14;Escritura;8;4;https://imagessl8.casadellibro.com/a/l/t7/18/9788484649618.jpg
"
EL ÁRBOL GENEROSO;Shel Silverstein;14;Escritura;8;5;https://imagessl8.casadellibro.com/a/l/t7/18/9788484649618.jpg
EL ÁRBOL GENEROSO;Shel Silverstein;14;Escritura;8;6;https://imagessl8.casadellibro.com/a/l/t7/18/9788484649618.jpg
EL ÁRBOL GENEROSO;Shel Silverstein;14;Escritura;8;7;https://imagessl8.casadellibro.com/a/l/t7/18/9788484649618.jpg
LA PEQUEÑA ORUGA GLOTONA;Eric Carle;17;Otros;9;4;https://imagessl6.casadellibro.com/a/l/t7/66/9788416126866.jpg
LA PEQUEÑA ORUGA GLOTONA;Eric Carle;17;Otros;9;5;https://imagessl6.casadellibro.com/a/l/t7/66/9788416126866.jpg
LA PEQUEÑA ORUGA GLOTONA;Eric Carle;17;Otros;9;6;https://imagessl6.casadellibro.com/a/l/t7/66/9788416126866.jpg
LA PEQUEÑA ORUGA GLOTONA;Eric Carle;17;Otros;9;7;https://imagessl6.casadellibro.com/a/l/t7/66/9788416126866.jpg
LA PEQUEÑA LOCOMOTORA QUE SI PUDO;Watty Piper;24;Escritura;8;4;https://tse1.mm.bing.net/th?id=OIP.QpsMqZ_070T_I_x4He8b5QAAAA&pid=Api&P=0&w=200&h=175
LA PEQUEÑA LOCOMOTORA QUE SI PUDO;Watty Piper;24;Escritura;8;5;https://tse1.mm.bing.net/th?id=OIP.QpsMqZ_070T_I_x4He8b5QAAAA&pid=Api&P=0&w=200&h=175
LA PEQUEÑA LOCOMOTORA QUE SI PUDO;Watty Piper;24;Escritura;8;6;https://tse1.mm.bing.net/th?id=OIP.QpsMqZ_070T_I_x4He8b5QAAAA&pid=Api&P=0&w=200&h=175
LA PEQUEÑA LOCOMOTORA QUE SI PUDO;Watty Piper;24;Escritura;8;4;7;https://tse1.mm.bing.net/th?id=OIP.QpsMqZ_070T_I_x4He8b5QAAAA&pid=Api&P=0&w=200&h=175
EL POLLO PEPE;Nick Denchfield;12;Lectura;6;4;https://imagessl9.casadellibro.com/a/l/t5/89/9788467593389.jpg
EL POLLO PEPE;Nick Denchfield;12;Lectura;6;5;https://imagessl9.casadellibro.com/a/l/t5/89/9788467593389.jpg
"EL POLLO PEPE;Nick Denchfield;12;Lectura;6;6;https://imagessl9.casadellibro.com/a/l/t5/89/9788467593389.jpg
"
EL PATITO FEO; Hans Christian Andersen;14;Lectura;9;4;https://imagessl3.casadellibro.com/a/l/t5/73/9789403211473.jpg
EL PATITO FEO; Hans Christian Andersen;14;Lectura;9;5;https://imagessl3.casadellibro.com/a/l/t5/73/9789403211473.jpg
EL PATITO FEO; Hans Christian Andersen;14;Lectura;9;6;https://imagessl3.casadellibro.com/a/l/t5/73/9789403211473.jpg
EL PATITO FEO; Hans Christian Andersen;14;Lectura;9;7;https://imagessl3.casadellibro.com/a/l/t5/73/9789403211473.jpg
LA OVEJITA QUE VINO A CENAR;Steve Smallman;21;Otros;5;4;https://imagessl0.casadellibro.com/a/l/t5/80/9788448853280.jpg
LA OVEJITA QUE VINO A CENAR;Steve Smallman;21;Otros;5;5;https://imagessl0.casadellibro.com/a/l/t5/80/9788448853280.jpg
LA OVEJITA QUE VINO A CENAR;Steve Smallman;21;Otros;5;6;https://imagessl0.casadellibro.com/a/l/t5/80/9788448853280.jpg
LA OVEJITA QUE VINO A CENAR;Steve Smallman;21;Otros;5;7;https://imagessl0.casadellibro.com/a/l/t5/80/9788448853280.jpg
LA CEBRA CAMILA;Marisa Núñez;12;Escritura;7;8;https://imagessl2.casadellibro.com/a/l/t5/02/9788495123602.jpg
LA CEBRA CAMILA;Marisa Núñez;12;Escritura;7;9;https://imagessl2.casadellibro.com/a/l/t5/02/9788495123602.jpg
LA CEBRA CAMILA;Marisa Núñez;12;Escritura;7;10;https://imagessl2.casadellibro.com/a/l/t5/02/9788495123602.jpg
LA CEBRA CAMILA;Marisa Núñez;12;Escritura;7;11;https://imagessl2.casadellibro.com/a/l/t5/02/9788495123602.jpg
DONDE VIVEN LOS MOSNTRUOS;Maurice Sendak;17;Otros;8;8;https://imagessl1.casadellibro.com/a/l/t5/81/9788484648581.jpg
DONDE VIVEN LOS MOSNTRUOS;Maurice Sendak;17;Otros;8;9;https://imagessl1.casadellibro.com/a/l/t5/81/9788484648581.jpg
DONDE VIVEN LOS MOSNTRUOS;Maurice Sendak;17;Otros;8;10;https://imagessl1.casadellibro.com/a/l/t5/81/9788484648581.jpg
EL VIENTO DE LOS SAUCES;Kenneth Grahame;21;Lectura;7;8;https://imagessl1.casadellibro.com/a/l/t5/91/9788426133991.jpg
EL VIENTO DE LOS SAUCES;Kenneth Grahame;21;Lectura;7;9;https://imagessl1.casadellibro.com/a/l/t5/91/9788426133991.jpg
EL VIENTO DE LOS SAUCES;Kenneth Grahame;21;Lectura;7;10;https://imagessl1.casadellibro.com/a/l/t5/91/9788426133991.jpg
EL JARDÍN SECRETO;Virginia Woolf;14;Lectura;6;8;https://imagessl4.casadellibro.com/a/l/t7/54/9788418260254.jpg
EL JARDÍN SECRETO;Virginia Woolf;14;Lectura;6;9;https://imagessl4.casadellibro.com/a/l/t7/54/9788418260254.jpg
EL JARDÍN SECRETO;Virginia Woolf;14;Lectura;6;10;https://imagessl4.casadellibro.com/a/l/t7/54/9788418260254.jpg
CAPERUCITA EN MANHATTAN;Carmen Martín Gaite;11;Lectura;8;11;https://imagessl0.casadellibro.com/a/l/t5/10/9788478442010.jpg
LA CHICA PÁJARO;Sandy Stark-McGinnis;13;Lectura;6;11;https://imagessl4.casadellibro.com/a/l/t5/94/9788417552794.jpg
EL ROJO ES BELLO;Lucía Zamolo;15;Lectura;9;11;https://imagessl7.casadellibro.com/a/l/t7/97/9788417383497.jpg
LOS INCURSORES;Mary Norton;17;Lectura;7;11;https://imagessl1.casadellibro.com/a/l/t5/01/9788417552701.jpg
CAPERUCITA EN MANHATTAN;Carmen Martín Gaite;1;Lectura;8;12;https://imagessl0.casadellibro.com/a/l/t5/10/9788478442010.jpg
CAPERUCITA EN MANHATTAN;Carmen Martín Gaite;11;Lectura;8;13;https://imagessl0.casadellibro.com/a/l/t5/10/9788478442010.jpg
CAPERUCITA EN MANHATTAN;Carmen Martín Gaite;11;Lectura;8;14;https://imagessl0.casadellibro.com/a/l/t5/10/9788478442010.jpg
LA CHICA PÁJARO;Sandy Stark-McGinnis;13;Lectura;6;12;https://imagessl4.casadellibro.com/a/l/t5/94/9788417552794.jpg
LA CHICA PÁJARO;Sandy Stark-McGinnis;13;Lectura;6;13;https://imagessl4.casadellibro.com/a/l/t5/94/9788417552794.jpg
LA CHICA PÁJARO;Sandy Stark-McGinnis;13;Lectura;6;14;https://imagessl4.casadellibro.com/a/l/t5/94/9788417552794.jpg
EL ROJO ES BELLO;Lucía Zamolo;15;Lectura;9;12;https://imagessl7.casadellibro.com/a/l/t7/97/9788417383497.jpg
EL ROJO ES BELLO;Lucía Zamolo;15;Lectura;9;13;https://imagessl7.casadellibro.com/a/l/t7/97/9788417383497.jpg
EL ROJO ES BELLO;Lucía Zamolo;15;Lectura;9;14;https://imagessl7.casadellibro.com/a/l/t7/97/9788417383497.jpg
LOS INCURSORES;Mary Norton;17;Lectura;7;12;https://imagessl1.casadellibro.com/a/l/t5/01/9788417552701.jpg
LOS INCURSORES;Mary Norton;17;Lectura;7;13;https://imagessl1.casadellibro.com/a/l/t5/01/9788417552701.jpg
LOS INCURSORES;Mary Norton;17;Lectura;7;14;https://imagessl1.casadellibro.com/a/l/t5/01/9788417552701.jpg
AQUITANIA;EVA GARCIA SAENZ DE URTURI;20;lectura;8;15;https://imagessl4.casadellibro.com/a/l/t7/14/9788408235514.jpg
"LÍNEA DE FUEGO;ARTURO PEREZ-REVERTE;22;lectura;9;15,https://trabalibros.com/rs/14702/4886d523-1977-4fa1-ab24-df1b609c897c/6c3/filename/linea-de-fuego-arturo-perez-reverte-trabalibros.jpg"
LAS TINIEBLAS Y EL ALBA;KEN FOLLETT;25;lectura;10;15;https://tse3.mm.bing.net/th?id=OIP.Fa4sUPTOSET9BZXAlWiLZgHaLb&pid=Api&P=0&w=300&h=300
REY BLANCO;Juan Gómez Jurado;30;lectura;8;15;https://imagessl5.casadellibro.com/a/l/t5/45/9788466668545.jpg
LA CIUDAD DE VAPOR;CARLOS RUIZ ZAFON;21;lectura;8;15;https://imagessl2.casadellibro.com/a/l/t5/02/9788408235002.jpg
"REINA ROJA;JUAN GOMEZ-JURADO;23;lectura;7;15;https://imagessl7.casadellibro.com/a/l/t5/17/9788466664417.jpg
"
FABULAS FEROCES: POEMAS E HISTORIAS;NIKITA GILL;16;lectura;8;15;https://imagessl3.casadellibro.com/a/l/t5/83/9788418027383.jpg
DEL AMOR Y OTRAS PANDEMIAS;MYRIAM M. LEJARDI;10;lectura;6;15;https://imagessl7.casadellibro.com/a/l/t5/77/9788491876977.jpg
LA GEMELA;NATASHA PRESTON;15;lectura;7;15;https://imagessl2.casadellibro.com/a/l/t5/02/9788408232902.jpg
LAS DOS CARAS DE KAI;ESTELLE MASKAME;21;lectura;7;15;https://imagessl6.casadellibro.com/a/l/t5/96/9788408232896.jpg
¿QUE PODEMOS PERDER?;SANDRA MIRO;14;lectura;9;15;https://imagessl1.casadellibro.com/a/l/t7/51/9788408225751.jpg
DIME QUIEN SOY;JULIA NAVARRO;12;lectura;9;15;https://imagessl0.casadellibro.com/a/l/t5/50/9788401337550.jpg
UNA TIERRA PROMETIDA;BARACK OBAMA;22;lectura;10;15;https://imagessl3.casadellibro.com/a/l/t5/43/9788499929743.jpg
SAPIENS (DE ANIMALES A DIOSES);YUVAL NOAH HARARI;23;lectura;9;15;https://imagessl3.casadellibro.com/a/l/t7/23/9788499926223.jpg
EL CLUB DEL CRIMEN DE LOS JUEVES;RICHARD OSMAN;22;lectura;8;15;https://imagessl5.casadellibro.com/a/l/t5/25/9788467060225.jpg
EL PEQUEÑO LIBRO DE LA ROPA;NATHALIE CHOUX;8;Otros;6;0;https://imagessl4.casadellibro.com/a/l/t5/64/9788408137764.jpg
EL PEQUEÑO LIBRO DE LA ROPA;NATHALIE CHOUX;8;Otros;6;1;https://imagessl4.casadellibro.com/a/l/t5/64/9788408137764.jpg
EL PEQUEÑO LIBRO DE LA ROPA;NATHALIE CHOUX;8;Otros;6;2;https://imagessl4.casadellibro.com/a/l/t5/64/9788408137764.jpg
EL PEQUEÑO LIBRO DE LA ROPA;NATHALIE CHOUX;8;Otros;6;3;https://imagessl4.casadellibro.com/a/l/t5/64/9788408137764.jpg
